Label,Visits,Actions,Maximum actions in one visit,Total time spent by visitors (in seconds),Bounces,Visits with Conversions,Unique visitors (daily sum),Users (daily sum)
Romania,18361,20300,86,237294,17131,0,18065,0
Bulgaria,8383,9400,14,136683,7749,0,8252,0
Netherlands,6656,7448,57,111752,6229,0,6468,0
Belgium,6452,17276,860,750863,5060,0,5949,0
Portugal,5717,6588,28,90766,5285,0,5610,0
Czechia,3485,3899,33,55591,3249,0,3409,0
Sweden,3266,3880,12,59997,2984,0,3129,0
Croatia,1948,2279,16,33903,1786,0,1928,0
Ireland,1857,2040,8,26951,1730,0,1781,0
Finland,1723,2067,16,33600,1551,0,1673,0
Austria,1686,2014,15,40165,1512,0,1603,0
France,1656,2208,18,66129,1430,0,1605,0
Italy,1602,2200,68,64546,1376,0,1521,0
Spain,1084,1847,52,100630,802,0,988,0
Germany,1078,1746,34,67756,835,0,1040,0
United Kingdom,817,1205,31,48035,674,0,787,0
Greece,354,659,18,38939,240,0,337,0
Slovakia,273,502,24,18995,181,0,231,0
Hungary,258,385,9,13773,194,0,253,0
Poland,243,413,11,11189,168,0,228,0
Albania,206,251,7,5280,177,0,203,0
Slovenia,176,389,25,23580,117,0,160,0
Estonia,170,212,7,4268,149,0,167,0
Denmark,165,282,11,12237,123,0,158,0
Lithuania,147,337,29,14297,104,0,140,0
Cyprus,123,210,11,18324,93,0,116,0
Latvia,121,319,56,12500,71,0,103,0
Switzerland,118,212,18,11363,96,0,113,0
Luxembourg,111,236,19,15609,71,0,100,0
Malta,75,97,8,2456,65,0,75,0
Serbia,68,87,9,2050,59,0,65,0
Ukraine,65,83,5,1295,56,0,61,0
Norway,51,74,11,2909,40,0,51,0
Moldova,37,60,6,3421,27,0,36,0
